Fold,SVM-Accuracy,SVM-F1,KNN-Accuracy,KNN-F1,DT-Accuracy,DT-F1,RF-Accuracy,RF-F1,MLP-Accuracy,MLP-F1,No. Selected Features,Features Name,FS/DS Parameters (SVM),FS/DS Parameters (KNN),FS/DS Parameters (DT),FS/DS Parameters (RF),FS/DS Parameters (MLP)
3,0.8759,0.5465,0.8843,0.6193,0.8822,0.5819,0.8822,0.5945,0.8895,0.6041,13,"F1, F13, F18, F11, F10, F5, F15, F14, F20, F12, F2, F17, F16","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 10}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
4,0.8768,0.5569,0.8727,0.5656,0.8727,0.5631,0.8758,0.5623,0.8727,0.5103,13,"F1, F13, F18, F11, F10, F5, F15, F20, F14, F12, F2, F17, F16","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
5,0.8914,0.5555,0.8956,0.5994,0.8841,0.5610,0.8977,0.6081,0.8883,0.5309,13,"F18, F11, F1, F13, F10, F5, F15, F14, F20, F12, F2, F17, F16","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': 10, 'min_samples_split': 10}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}"
6,0.8820,0.5668,0.8925,0.6008,0.8894,0.5912,0.8904,0.5968,0.8852,0.5650,13,"F18, F11, F1, F13, F5, F15, F10, F20, F14, F12, F2, F17, F16","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
7,0.8737,0.5300,0.8810,0.5708,0.8883,0.5856,0.8998,0.6203,0.8800,0.5429,13,"F18, F11, F1, F13, F10, F5, F15, F14, F20, F12, F2, F17, F16","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 10}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
8,0.8883,0.5375,0.8977,0.5662,0.8977,0.5518,0.9050,0.5710,0.8967,0.5685,13,"F18, F11, F1, F13, F15, F5, F10, F14, F20, F12, F2, F17, F16","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 5}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
9,0.8883,0.5595,0.8956,0.5964,0.8946,0.6177,0.8935,0.5981,0.8998,0.5746,13,"F1, F12, F11, F18, F5, F15, F10, F13, F20, F14, F2, F17, F16","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
10,0.8935,0.5541,0.8987,0.6205,0.8967,0.6037,0.8987,0.6082,0.9061,0.6052,13,"F1, F15, F11, F18, F13, F5, F10, F14, F20, F12, F2, F17, F16","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 10}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
1,0.8717,0.4934,0.8530,0.4633,0.8676,0.5213,0.8644,0.5124,0.8644,0.4672,13,"F1, F12, F11, F14, F5, F18, F15, F10, F20, F13, F17, F16, F2","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'uniform'}","{'max_depth': 10, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
2,0.8811,0.4548,0.8738,0.4805,0.8780,0.4327,0.8822,0.4754,0.8780,0.4717,13,"F1, F12, F11, F14, F5, F18, F10, F15, F20, F13, F17, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'uniform'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}"
3,0.8717,0.4315,0.8728,0.4828,0.8655,0.4759,0.8738,0.4949,0.8665,0.4416,13,"F1, F13, F20, F11, F5, F18, F10, F15, F14, F17, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
4,0.8695,0.4686,0.8674,0.5153,0.8810,0.5778,0.8789,0.5271,0.8737,0.5536,13,"F1, F12, F11, F14, F5, F18, F15, F10, F20, F13, F17, F16, F2","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'uniform'}","{'max_depth': 10, 'min_samples_split': 5}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
5,0.8643,0.4178,0.8674,0.4967,0.8758,0.5437,0.8768,0.5460,0.8727,0.5356,13,"F1, F15, F11, F18, F13, F5, F14, F10, F20, F17, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
6,0.8466,0.4598,0.8351,0.4299,0.8445,0.4876,0.8643,0.5416,0.8392,0.4568,13,"F1, F13, F20, F11, F5, F18, F10, F15, F14, F17, F12, F16, F2","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'uniform'}","{'max_depth': 20, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
7,0.8466,0.4412,0.8507,0.4919,0.8549,0.5239,0.8539,0.4686,0.8486,0.4671,13,"F1, F12, F11, F20, F5, F18, F15, F10, F14, F13, F17, F16, F2","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'uniform'}","{'max_depth': 10, 'min_samples_split': 2}","{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
8,0.8413,0.3981,0.8486,0.5241,0.8351,0.5159,0.8434,0.4997,0.8330,0.4361,13,"F1, F13, F14, F11, F5, F18, F10, F15, F20, F17, F12, F2, F16","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'uniform'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
9,0.8758,0.4768,0.8768,0.4771,0.8914,0.5468,0.8841,0.5244,0.8716,0.4934,13,"F1, F12, F11, F20, F5, F18, F10, F15, F14, F13, F17, F16, F2","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'uniform'}","{'max_depth': 20, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
10,0.8685,0.4175,0.8716,0.4687,0.8747,0.4966,0.8747,0.5024,0.8789,0.5079,13,"F1, F15, F11, F18, F13, F5, F20, F10, F14, F17, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
1,0.9614,0.9470,0.9844,0.9681,1.0000,1.0000,1.0000,1.0000,0.9802,0.9680,16,"F4, F15, F6, F8, F1, F10, F17, F13, F18, F11, F5, F20, F14, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}"
2,0.9771,0.9744,0.9844,0.9697,0.9990,0.9861,1.0000,1.0000,0.9937,0.9903,16,"F6, F12, F8, F4, F1, F17, F11, F18, F5, F10, F13, F20, F14, F15, F16, F2","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
3,0.9771,0.9534,0.9823,0.9508,1.0000,1.0000,1.0000,1.0000,0.9979,0.9888,16,"F6, F10, F8, F4, F17, F1, F13, F18, F5, F11, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
4,0.9676,0.9539,0.9864,0.9864,1.0000,1.0000,1.0000,1.0000,0.9854,0.9845,16,"F6, F8, F4, F10, F17, F1, F13, F18, F5, F11, F20, F15, F14, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
5,0.9656,0.9658,0.9854,0.9673,1.0000,1.0000,1.0000,1.0000,0.9937,0.9942,16,"F6, F10, F8, F4, F17, F1, F13, F18, F5, F11, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
6,0.9770,0.9650,0.9875,0.9820,1.0000,1.0000,0.9990,0.9989,0.9916,0.9868,16,"F4, F10, F6, F8, F17, F1, F13, F18, F5, F11, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
7,0.9791,0.9754,0.9823,0.9803,1.0000,1.0000,1.0000,1.0000,0.9927,0.9918,16,"F4, F10, F6, F8, F17, F1, F13, F18, F5, F11, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
8,0.9802,0.9522,0.9864,0.9648,1.0000,1.0000,1.0000,1.0000,0.9885,0.9611,16,"F4, F10, F6, F8, F17, F1, F13, F18, F5, F11, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
9,0.9749,0.9469,0.9875,0.9576,1.0000,1.0000,1.0000,1.0000,0.9916,0.9543,16,"F6, F4, F8, F10, F17, F1, F13, F18, F5, F11, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 5}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
10,0.9687,0.9625,0.9781,0.8813,1.0000,1.0000,0.9990,0.9990,0.9885,0.9849,16,"F6, F8, F4, F10, F17, F1, F13, F18, F11, F5, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
1,0.9614,0.9470,0.9844,0.9681,1.0000,1.0000,1.0000,1.0000,0.9875,0.9797,16,"F4, F15, F6, F8, F1, F10, F17, F13, F18, F11, F5, F20, F14, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
2,0.9771,0.9744,0.9844,0.9697,0.9990,0.9861,1.0000,1.0000,0.9896,0.9864,16,"F6, F12, F8, F4, F1, F17, F11, F18, F5, F10, F13, F20, F14, F15, F16, F2","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}"
3,0.9771,0.9534,0.9823,0.9508,1.0000,1.0000,1.0000,1.0000,0.9969,0.9968,16,"F6, F10, F8, F4, F17, F1, F13, F18, F5, F11, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
4,0.9676,0.9539,0.9864,0.9864,1.0000,1.0000,1.0000,1.0000,0.9885,0.9883,16,"F6, F8, F4, F10, F17, F1, F13, F18, F5, F11, F20, F15, F14, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
5,0.9656,0.9658,0.9854,0.9673,1.0000,1.0000,0.9990,0.9990,0.9927,0.9932,16,"F6, F10, F8, F4, F17, F1, F13, F18, F5, F11, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 5}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
6,0.9770,0.9650,0.9875,0.9820,1.0000,1.0000,1.0000,1.0000,0.9906,0.9901,16,"F4, F10, F6, F8, F17, F1, F13, F18, F5, F11, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
7,0.9791,0.9754,0.9823,0.9803,1.0000,1.0000,1.0000,1.0000,0.9916,0.9906,16,"F4, F10, F6, F8, F17, F1, F13, F18, F5, F11, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 5}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
8,0.9802,0.9522,0.9864,0.9648,1.0000,1.0000,1.0000,1.0000,0.9875,0.9601,16,"F4, F10, F6, F8, F17, F1, F13, F18, F5, F11, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
9,0.9749,0.9469,0.9875,0.9576,1.0000,1.0000,1.0000,1.0000,0.9843,0.9600,16,"F6, F4, F8, F10, F17, F1, F13, F18, F5, F11, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
10,0.9687,0.9625,0.9781,0.8813,1.0000,1.0000,1.0000,1.0000,0.9927,0.9892,16,"F6, F8, F4, F10, F17, F1, F13, F18, F11, F5, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
1,0.9739,0.9645,0.9875,0.9678,1.0000,1.0000,1.0000,1.0000,0.9969,0.9960,13,"F17, F10, F1, F13, F18, F11, F5, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
2,0.9791,0.9676,0.9927,0.9905,1.0000,1.0000,1.0000,1.0000,0.9833,0.9776,13,"F17, F10, F1, F13, F18, F11, F5, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}"
3,0.9760,0.7248,0.9823,0.7289,1.0000,1.0000,1.0000,1.0000,0.9875,0.9873,13,"F17, F10, F1, F13, F18, F11, F5, F20, F15, F14, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
4,0.9687,0.9519,0.9916,0.9882,1.0000,1.0000,1.0000,1.0000,0.9843,0.7340,13,"F17, F10, F1, F13, F18, F5, F11, F20, F15, F14, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
5,0.9770,0.9699,0.9864,0.7317,1.0000,1.0000,1.0000,1.0000,0.9937,0.9910,13,"F17, F10, F1, F13, F18, F11, F5, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
6,0.9697,0.7155,0.9854,0.7153,1.0000,1.0000,1.0000,1.0000,0.9906,0.9861,13,"F17, F10, F1, F13, F18, F11, F5, F14, F15, F20, F12, F16, F2","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
7,0.9635,0.9506,0.9823,0.8882,1.0000,1.0000,1.0000,1.0000,0.9854,0.9820,13,"F17, F10, F1, F13, F18, F11, F5, F20, F15, F14, F12, F16, F2","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
8,0.9718,0.7149,0.9833,0.7217,1.0000,1.0000,1.0000,1.0000,0.9864,0.7305,13,"F17, F10, F1, F13, F18, F11, F5, F14, F20, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
9,0.9708,0.9663,0.9864,0.9773,1.0000,1.0000,1.0000,1.0000,0.9885,0.9896,13,"F17, F10, F1, F13, F18, F11, F5, F14, F20, F15, F12, F16, F2","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': 10, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
10,0.9739,0.7119,0.9760,0.7148,1.0000,1.0000,0.9990,0.9990,0.9916,0.9798,13,"F17, F10, F1, F13, F18, F11, F5, F14, F20, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'uniform'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
1,0.9739,0.9645,0.9875,0.9678,1.0000,1.0000,0.9990,0.9987,0.9844,0.9793,13,"F17, F10, F1, F13, F18, F11, F5, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
2,0.9791,0.9676,0.9927,0.9905,1.0000,1.0000,1.0000,1.0000,0.9969,0.9959,13,"F17, F10, F1, F13, F18, F11, F5, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
3,0.9760,0.7248,0.9823,0.7289,1.0000,1.0000,1.0000,1.0000,0.9958,0.9957,13,"F17, F10, F1, F13, F18, F11, F5, F20, F15, F14, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
4,0.9687,0.9519,0.9916,0.9882,1.0000,1.0000,1.0000,1.0000,0.9916,0.9881,13,"F17, F10, F1, F13, F18, F5, F11, F20, F15, F14, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
5,0.9770,0.9699,0.9864,0.7317,1.0000,1.0000,1.0000,1.0000,0.9927,0.9900,13,"F17, F10, F1, F13, F18, F11, F5, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
