Fold,SVM-Accuracy,SVM-F1,KNN-Accuracy,KNN-F1,DT-Accuracy,DT-F1,RF-Accuracy,RF-F1,MLP-Accuracy,MLP-F1,No. Selected Features,Features Name,FS/DS Parameters (SVM),FS/DS Parameters (KNN),FS/DS Parameters (DT),FS/DS Parameters (RF),FS/DS Parameters (MLP)
2,0.8343,0.1406,0.8343,0.1346,0.8343,0.1396,0.8331,0.1387,0.8319,0.1374,20,"F146, F172, F18, F235, F85, F82, F252, F102, F261, F20, F265, F150, F199, F200, F256, F186, F104, F206, F180, F251","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'uniform'}","{'max_depth': 20, 'min_samples_split': 5}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}"
3,0.8439,0.1364,0.8451,0.1368,0.8439,0.1375,0.8439,0.1373,0.8427,0.1457,20,"F146, F94, F18, F82, F199, F206, F261, F7, F252, F20, F265, F256, F240, F47, F186, F104, F180, F62, F40, F150","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': 10, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}"
4,0.8571,0.1406,0.8511,0.1403,0.8547,0.1472,0.8559,0.1464,0.8535,0.1437,20,"F146, F150, F18, F182, F51, F206, F199, F235, F261, F82, F7, F252, F20, F265, F256, F180, F226, F186, F251, F200","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
5,0.8535,0.1629,0.8499,0.1633,0.8475,0.1617,0.8475,0.1617,0.8535,0.1620,20,"F146, F172, F85, F18, F235, F261, F82, F252, F102, F20, F150, F199, F71, F265, F29, F186, F104, F206, F180, F40","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 5}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
6,0.8535,0.1518,0.8511,0.1391,0.8547,0.1680,0.8535,0.1648,0.8499,0.1402,20,"F146, F94, F265, F261, F199, F7, F206, F82, F20, F252, F200, F47, F256, F240, F180, F186, F104, F62, F251, F40","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': 10, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
7,0.8427,0.1328,0.8415,0.1407,0.8439,0.1325,0.8463,0.1581,0.8427,0.1325,20,"F146, F94, F18, F206, F199, F261, F7, F82, F252, F20, F251, F200, F180, F240, F186, F102, F172, F182, F104, F150","{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'uniform'}","{'max_depth': 5, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
8,0.8451,0.1600,0.8415,0.1466,0.8427,0.1516,0.8427,0.1655,0.8439,0.1779,20,"F146, F76, F18, F51, F199, F150, F82, F252, F261, F226, F20, F265, F256, F186, F7, F180, F104, F47, F103, F182","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'uniform'}","{'max_depth': 10, 'min_samples_split': 5}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}"
9,0.8403,0.1464,0.8379,0.1446,0.8403,0.1492,0.8415,0.1484,0.8403,0.1605,20,"F146, F172, F18, F85, F82, F235, F261, F7, F252, F150, F20, F265, F200, F256, F199, F186, F180, F206, F251, F104","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'uniform'}","{'max_depth': 20, 'min_samples_split': 5}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
10,0.8463,0.1599,0.8391,0.1449,0.8475,0.1691,0.8427,0.1512,0.8451,0.1501,20,"F146, F94, F18, F199, F206, F261, F7, F82, F252, F20, F265, F256, F251, F180, F240, F47, F186, F104, F62, F40","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': 10, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
1,0.7935,0.0867,0.7947,0.0833,0.7911,0.0733,0.7935,0.0876,0.7947,0.0849,20,"F103, F13, F235, F206, F265, F200, F82, F175, F257, F240, F113, F252, F182, F251, F40, F186, F256, F9, F91, F92","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'uniform'}","{'max_depth': None, 'min_samples_split': 10}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}"
